name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.match_face\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""match_face"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_match_face_e24c25449102981b8810a61d5384038e
extension_in_public,Extension in Public,WARN,EXTERNAL,"[""SECURITY""]",Detects extensions installed in the \`public\` schema.,Extension \`vector\` is installed in the public schema. Move it to another schema.,https://supabase.com/docs/guides/database/database-linter?lint=0014_extension_in_public,"{""name"":""vector"",""type"":""extension"",""schema"":""public""}",extension_in_public_vector
public_bucket_allows_listing,Public Bucket Allows Listing,WARN,EXTERNAL,"[""SECURITY""]","Detects public storage buckets with a broad SELECT policy on `storage.objects`, which allows clients to list all files in the bucket.","Public bucket `student-auth-photos` has 1 broad SELECT policy on `storage.objects` (student_auth_photos_select), allowing clients to list all files. Public buckets don't need this for object URL access and it may expose more data than intended.",https://supabase.com/docs/guides/database/database-linter?lint=0025_public_bucket_allows_listing,"{""name"":""student-auth-photos"",""type"":""bucket"",""schema"":""storage"",""bucket_id"":""student-auth-photos"",""bucket_name"":""student-auth-photos"",""policy_count"":1,""policy_names"":[""student_auth_photos_select""]}",public_bucket_allows_listing_student-auth-photos
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.","Function `public.admin_insert_coach(p_auth_user_id uuid, p_login_id text, p_email text, p_first_name text, p_last_name text, p_is_admin boolean)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/admin_insert_coach`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""admin_insert_coach"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_auth_user_id uuid, p_login_id text, p_email text, p_first_name text, p_last_name text, p_is_admin boolean"",""security_definer"":true}","anon_security_definer_function_executable_public_admin_insert_coach_p_auth_user_id uuid, p_login_id text, p_email text, p_first_name text, p_last_name text, p_is_admin boolean"
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.",Function `public.admin_set_coach_must_set_password(p_login_id text)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/admin_set_coach_must_set_password`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""admin_set_coach_must_set_password"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_login_id text"",""security_definer"":true}",anon_security_definer_function_executable_public_admin_set_coach_must_set_password_p_login_id text
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.",Function `public.clear_must_set_password()` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/clear_must_set_password`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""clear_must_set_password"",""schema"":""public"",""language"":""plpgsql"",""arguments"":"""",""security_definer"":true}",anon_security_definer_function_executable_public_clear_must_set_password_
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.",Function `public.coach_must_set_password()` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/coach_must_set_password`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""coach_must_set_password"",""schema"":""public"",""language"":""sql"",""arguments"":"""",""security_definer"":true}",anon_security_definer_function_executable_public_coach_must_set_password_
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.",Function `public.coaches_set_updated_at()` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/coaches_set_updated_at`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""coaches_set_updated_at"",""schema"":""public"",""language"":""plpgsql"",""arguments"":"""",""security_definer"":true}",anon_security_definer_function_executable_public_coaches_set_updated_at_
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.",Function `public.current_coach_id()` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/current_coach_id`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""current_coach_id"",""schema"":""public"",""language"":""sql"",""arguments"":"""",""security_definer"":true}",anon_security_definer_function_executable_public_current_coach_id_
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.",Function `public.current_coach_status()` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/current_coach_status`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""current_coach_status"",""schema"":""public"",""language"":""sql"",""arguments"":"""",""security_definer"":true}",anon_security_definer_function_executable_public_current_coach_status_
